,AgeAbove35,Accessibility,Employment,MentalHealth,YearsCodePro,Employed,Skills_dist,has_advanced_degree,salary_per_year_exp,NoHigherEd,HasTopCountry,Gender_Woman,MainBranch_NotDev
0,0,0,1,0,4,0,0,1,10310.4,0,0,0,0
1,0,0,1,0,5,1,1,0,7747.0,0,0,0,0
2,0,0,1,0,6,0,0,1,11041.42857142857,0,1,0,0
3,0,0,1,0,6,0,1,0,6590.714285714285,0,1,0,0
4,1,0,0,0,30,0,0,1,5191.354838709677,0,0,0,1
5,0,0,1,0,2,0,0,1,12971.666666666666,0,0,0,0
6,1,0,1,0,18,1,2,1,4096.368421052632,0,1,0,0
7,0,0,1,0,5,0,0,1,13553.166666666666,0,0,0,1
8,1,0,1,0,21,0,0,0,3113.9545454545455,0,1,0,0
9,1,0,1,0,16,0,0,1,2220.705882352941,0,0,0,0
10,0,0,1,1,2,1,2,0,40860.0,0,0,0,0
11,0,0,1,1,2,1,1,0,3944.0,0,0,0,0
12,0,0,1,0,10,0,0,1,5503.181818181818,0,1,0,0
13,0,0,1,0,0,0,0,0,103000.0,0,1,0,0
14,0,0,1,0,3,0,0,1,6486.0,0,0,0,1
15,1,0,1,1,15,1,2,0,3780.0,0,0,0,0
16,0,0,1,1,1,0,0,0,10278.0,0,0,0,0
17,0,0,1,0,6,1,2,0,3706.285714285714,0,0,0,0
18,1,0,1,1,12,1,1,1,4971.538461538462,0,1,0,0
19,1,0,1,0,16,1,2,1,3179.3529411764707,0,0,0,0
20,0,0,1,0,3,0,1,0,5661.0,0,0,0,1
21,1,1,1,1,10,0,0,0,6531.818181818182,0,1,0,0
22,1,0,1,0,10,1,0,1,5306.636363636364,0,0,0,0
23,1,0,1,0,18,0,1,0,6803.473684210527,0,1,0,0
24,0,0,1,0,2,0,0,1,8648.0,0,0,0,1
25,1,0,1,0,15,0,0,0,6562.5,0,1,0,0
26,0,0,1,0,8,1,2,0,5062.666666666667,0,0,0,1
27,1,0,1,0,8,0,0,1,16807.0,0,1,0,0
28,1,0,1,0,3,0,0,0,10125.0,0,0,0,1
29,0,0,0,0,7,1,2,0,5488.5,0,0,0,0
30,0,0,1,0,6,1,2,1,6048.0,0,0,0,0
31,1,0,1,0,17,1,0,0,5294.166666666667,0,1,0,0
32,0,0,1,0,1,0,0,1,50000.0,0,1,0,0
33,1,0,1,0,14,1,0,0,4093.2,0,1,0,0
34,0,0,1,1,10,1,2,0,9827.09090909091,1,0,0,1
35,0,0,1,0,4,1,2,0,5467.2,0,0,0,0
36,0,0,1,0,7,0,0,1,652.0,0,0,0,0
37,0,0,0,0,3,0,1,1,37834.25,0,0,0,0
38,0,0,0,1,8,1,2,0,2738.6666666666665,0,1,0,0
39,0,0,1,0,1,0,0,0,3894.0,0,0,0,0
40,1,1,1,0,26,1,1,1,4969.481481481482,0,0,0,0
41,0,0,1,0,3,1,0,0,16157.5,0,1,0,0
42,0,0,1,0,8,1,1,0,4323.888888888889,0,0,0,0
43,0,0,1,0,3,0,1,0,1236.0,0,0,0,0
44,0,0,0,0,1,1,2,0,14754.0,0,1,0,0
45,0,0,1,0,2,1,2,1,4756.0,0,0,0,0
46,0,0,1,0,2,1,2,0,14413.0,0,0,0,0
47,0,0,1,0,0,0,0,0,48.0,1,0,0,0
48,0,0,1,0,6,1,1,0,20000.0,0,1,0,0
49,0,0,1,0,4,1,2,0,2824.8,0,0,0,0
50,1,0,1,1,5,0,0,0,16986.0,0,0,0,1
51,0,0,0,0,8,0,0,1,2333.3333333333335,0,0,0,0
52,0,0,1,0,1,1,0,0,27000.0,0,1,0,0
53,1,0,0,1,16,1,2,1,11764.70588235294,0,1,0,0
54,0,0,1,0,5,1,2,0,6054.0,0,0,0,0
55,0,0,1,1,3,1,2,0,9694.5,0,1,0,0
56,0,0,0,0,3,1,2,0,12150.0,0,0,0,0
57,1,0,0,0,25,1,0,1,2286.6923076923076,0,0,0,0
58,0,0,1,0,2,0,0,0,4884.0,0,0,1,0
59,1,0,1,0,34,0,0,0,5714.285714285715,0,1,0,0
60,0,0,1,0,11,1,2,1,8107.333333333333,0,1,0,0
61,0,0,1,0,5,0,0,0,12582.0,0,0,1,0
62,0,0,0,0,2,0,0,1,12000.0,0,0,0,1
63,0,0,1,0,5,1,1,1,8287.5,0,0,0,0
64,1,0,1,0,25,1,1,0,2694.1153846153848,0,1,0,0
65,0,0,1,1,4,1,2,0,19700.0,0,1,0,1
66,0,1,0,0,7,1,2,0,292.5,0,1,0,0
67,1,0,1,0,24,0,1,0,4600.0,0,1,0,0
68,0,0,1,0,6,1,1,1,6272.571428571428,0,0,0,1
69,0,0,1,0,7,1,1,0,12926.0,0,0,0,0
